"","Potency","MolWt","MolLogP","TPSA","RingCount","NumHeteroAtoms"
"227",5.3582,438.509,3.4429,93.65,5,9
"228",6.7456,273.357,3.6694,38.33,2,4
"229",2.1331,298.277,2.2562,62.06,4,7
"230",16.9441,227.263,2.7753,49.66,3,3
"231",0.4256,347.374,4.3621,61.26,4,6
"232",1.6944,338.407,3.7004,50.8,4,5
"233",4.2562,282.339,3.6634,35.53,3,3
"234",19.0115,298.389,5.12582,25.78,3,2
"235",15.1014,232.242,2.8412,42.85,4,3
"236",10.691,302.307,3.0823,65.74,3,6
"237",15.1014,282.796,3.0685,25.36,3,5
"238",7.5686,253.305,3.02174,39.42,3,4
"239",10.691,295.363,3.475,37.38,3,4
"240",7.5686,246.266,2.06302,64.35,2,5
"241",6.012,245.278,4.2092,26.03,3,4
"242",0.6746,272.329,3.8638,48.15,3,5
"243",6.7456,255.343,1.9836,78.1,1,6
"244",0.6746,275.311,3.8953,43.85,4,4
"245",16.9441,354.387,3.59052,78.36,3,7
"246",1.0691,270.719,4.36542,38.92,3,4
"247",1.9012,264.288,3.26172,80.73,4,5
"248",10.691,282.368,4.33732,38.92,3,4
"249",2.3934,249.273,3.67952,54.71,4,4
"250",15.1014,345.383,4.2554,60.92,5,6
"251",15.1014,230.654,3.5432,38.92,3,4
"252",0.0849,326.425,3.7522,51.14,4,6
"253",19.0115,326.355,4.38528,58.93,4,4
"254",16.9441,331.763,3.2488,85.84,3,8
"255",1.0691,341.436,3.89694,67.87,3,6
"256",0.7569,373.459,4.0909,80.32,3,8
"257",0.9528,296.282,3.1409,66.61,4,6
"258",23.9341,340.402,2.8427,53.66,4,6
"259",2.1331,243.693,4.45662,26.03,3,3
"260",3.7933,253.33,3.9487,37.81,3,4
"261",2.3934,313.382,3.9659,56.27,3,6
"262",7.5686,241.294,3.34244,54.02,2,4
"263",13.4591,256.33,3.4921,34.03,3,4
"264",6.012,211.264,3.24732,29.1,2,2
"265",6.7456,411.461,4.093,66.65,5,6
"266",23.9341,323.348,4.1195,60.7,3,5
"267",10.691,253.714,3.4405,54.02,2,6
"268",19.0115,258.774,3.4954,37.91,2,5
"269",7.5686,209.252,2.8121,54.7,3,3
"270",16.9441,253.352,2.8044,54.88,2,6
"271",23.9341,227.263,2.9475,38.33,2,3
"272",16.9441,290.16,3.6375,29.96,2,3
"273",11.9955,237.711,3.6538,29.1,2,4
"274",11.9955,222.269,2.2633,51.22,2,5
"275",26.8545,217.363,2.7927,51.8,1,5
"276",4.2562,250.66,3.1264,41.99,2,5
"277",0.3013,226.304,3.5455,38.91,3,3
"278",15.1014,218.216,1.0656,79.9,2,6
"279",11.9955,211.264,3.2606,22.12,2,2
"280",0.2393,238.29,3.6394,52.05,3,3
"281",5.3582,212.252,3.14172,30.96,3,3
"282",10.691,349.482,4.597,45.46,4,5
"283",16.9441,339.186,2.91702,61.03,1,12
"284",13.4591,507.03,1.9575,98.49,5,7
"285",16.9441,290.388,3.1784,46.34,3,5
"286",6.012,315.328,3.7216,47.56,5,4
"287",13.4591,325.368,2.803,70.67,3,6
"288",21.3313,269.264,1.81602,85.84,3,7
"289",21.3313,267.288,2.65422,57.01,3,5
"290",11.9955,284.362,4.8174,25.78,3,2
"291",0.6746,288.397,4.6238,34.15,3,5
"292",13.4591,282.343,3.6438,36.28,3,4
"293",9.5283,329.787,3.6297,55.63,3,6
"294",3.0131,267.284,3.2546,65.46,3,4
"295",8.4921,278.336,4.5272,38.92,4,4
"296",0.3381,253.261,2.8072,61.04,3,5
"297",0.3793,239.278,2.96762,78.07,3,4
"298",8.4921,283.283,2.8722,61.56,3,5
"299",3.0131,303.387,2.5703,78.1,2,6
"300",1.9012,365.458,4.4236,48.64,4,6
"301",13.4591,265.272,2.8747,68.02,3,5
"302",23.9341,292.429,3.4009,33.2,3,5
"303",10.691,311.772,4.27702,46.92,3,5
"304",3.3808,265.316,3.21574,47.26,3,4
"305",19.0115,273.307,3.46004,38.33,2,4
"306",16.9441,292.29,2.6525,60.44,3,4
"307",6.7456,305.337,3.7016,48.64,4,5
"308",5.3582,306.321,3.3553,57.26,4,5
"309",4.7755,263.293,2.4999,46.17,2,5
"310",1.9012,274.323,4.2951,37.91,4,3
"311",0.0757,282.339,3.6634,35.53,3,3
"312",2.6855,439.562,3.8598,79.79,3,8
"313",1.1995,290.204,4.8537,12.89,2,2
"314",6.7456,230.223,1.7569,77.82,2,5
"315",13.4591,306.387,2.99212,61.31,2,6
"316",10.691,234.28,2.1606,51.22,2,5
"317",8.4921,390.712,5.00392,42.15,4,5
"318",0.3013,238.246,3.0801,55.13,3,4
"319",7.5686,340.404,3.59152,85.33,3,6
"320",15.1014,309.749,4.2168,42.24,3,6
"321",2.1331,370.228,3.03802,81.18,2,8
"322",4.7755,373.412,4.02174,66.24,4,6
"323",0.0757,277.246,1.06912,47.36,2,8
"324",11.9955,257.249,1.5001,73.34,3,6
"325",2.3934,223.279,3.12052,54.7,3,3
"326",4.7755,349.257,4.1088,63.83,3,6
"327",1.1995,323.348,3.5488,56.79,4,5
"328",21.3313,351.456,4.4666,44.7,4,6
"329",2.1331,234.328,2.3128,41.05,2,5
"330",16.9441,311.381,3.1291,47.56,3,4
"331",19.0115,360.457,4.5114,41.9,4,4
"332",23.9341,270.284,2.7694,52.6,2,4
"333",8.4921,359.813,3.6383,64.86,3,7
"334",16.9441,261.346,3.48242,52.32,2,4
"335",7.5686,255.273,3.02232,58.89,2,4
"336",19.0115,309.441,3.0708,54.35,3,7
"337",0.5358,223.235,2.7986,51.81,3,4
"338",11.9955,296.33,2.5179,74.66,3,6
"339",10.691,287.75,3.8038,47.04,3,5
"340",11.9955,286.356,3.0701,62.98,2,5
"341",4.2562,303.402,4.1607,55.4,2,4
"342",9.5283,334.778,3.568,41.57,3,6
"343",2.6855,359.227,3.05,70.14,3,6
"344",23.9341,289.382,4.1927,39.39,3,3
"345",11.9955,277.393,3.666,50.8,2,5
"346",8.4921,291.137,4.7104,38.92,3,5
"347",19.0115,245.669,3.1254,64.94,3,5
"348",2.1331,300.314,3.0479,59.06,3,6
"349",10.691,257.293,3.04262,63.25,2,5
"350",21.3313,269.373,4.36016,37.81,3,4
"351",21.3313,316.405,3.35546,72.42,2,6
"352",0.8492,264.321,3.0014,52.6,1,4
"353",8.4921,298.342,3.21572,60.45,2,5
"354",9.5283,322.817,3.5048,51.22,3,6
"355",19.0115,360.479,4.8638,60.45,3,6
"356",19.0115,306.322,3.0474,79.23,2,8
"357",0.8492,285.299,2.7187,56.79,3,5
"358",19.0115,330.432,3.66388,72.42,2,6
"359",13.4591,334.778,3.568,41.57,3,6
"360",10.691,215.281,2.8736,54.7,3,4
"361",1.5101,273.313,3.3883,56.24,4,5
"362",23.9341,311.374,2.2797,102.5,3,8
"363",0.2133,224.263,3.38542,52.05,3,3
"364",16.9441,327.167,2.9353,60.45,3,7
"365",3.3808,254.289,3.1505,47.14,3,4
"366",2.3934,289.381,3.8568,43.1,4,5
"367",23.9341,437.496,4.6885,69.29,4,8
"368",26.8545,307.18,4.4221,27.05,3,5
"369",4.7755,279.321,2.7821,73.34,2,7
"370",2.1331,284.334,3.6782,32.34,3,4
"371",16.9441,286.784,2.94832,54.98,2,6
"372",13.4591,296.278,3.0939,69.65,4,5
"373",10.691,284.294,2.5361,52.83,3,6
"374",9.5283,365.179,3.05884,73.58,2,6
"375",10.691,309.394,3.219,47.25,4,5
"376",9.5283,416.437,2.85154,99.15,4,8
"377",15.1014,318.42,4.2028,23.55,3,3
"378",19.0115,285.778,4.3217,29.85,3,4
"379",9.5283,283.396,3.67642,20.31,3,3
"380",16.9441,297.31,2.1169,55.84,6,5
"381",4.2562,289.291,1.7547,82.57,2,7
"382",21.3313,291.759,4.0777,42.24,3,5
"383",11.9955,250.301,3.45802,41.46,3,3
"384",19.0115,264.281,0.4925,67.87,2,6
"385",16.9441,299.345,3.20172,29.54,3,4
